product_id,product_name,product_type,age_min,age_max,income_limit_single,income_limit_couple,net_asset_limit,credit_score_min,deposit_limit_capital,deposit_limit_non_capital,ltv_limit_pct,max_loan_capital,max_loan_non_capital,base_rate_min,base_rate_max,max_area_sqm,guarantee_agency,dsr_limit_pct,marriage_within_7y_required,newborn_within_2y_required,youth_only,allowed_property_types,target_customer,notes
A1,버팀목전세자금,전세자금대출,19,99,5000,5000,34500,600,12000,8000,80,12000,8000,2.5,3.5,85,HUG,40,N,N,N,아파트|연립|다세대|단독|오피스텔,일반 무주택 세대주,부부합산 연소득 5000만원 이하 무주택 세대주
A2,청년전용 버팀목전세자금,전세자금대출,19,34,5000,5000,34500,600,30000,30000,80,15000,15000,2.2,3.3,85,HUG,40,N,N,Y,아파트|연립|다세대|단독|오피스텔,만 19~34세 청년 무주택 세대주(예비 포함),"임차보증금 80% 이내, 최대 1.5억"
A3,신혼부부 버팀목전세자금,전세자금대출,19,99,6000,7500,34500,600,30000,20000,80,30000,20000,1.5,3.0,85,HUG,40,Y,N,N,아파트|연립|다세대|단독|오피스텔,혼인 7년 이내 신혼부부 무주택 세대주,"예비부부 포함, 혼인기간 7년 이내"
A4,신생아특례 버팀목대출,전세자금대출,19,99,13000,20000,34500,600,50000,50000,80,24000,24000,1.3,4.3,85,HF,40,N,Y,N,아파트|연립|다세대|단독|오피스텔,대출접수일 기준 2년 내 출산 무주택 세대주,2023.1.1 이후 출생아부터 적용
A5,청년전용 보증부월세대출,월세보증금대출,19,34,5000,5000,34500,600,4500,4500,100,4500,4500,1.3,1.3,60,SGI,40,N,N,Y,아파트|연립|다세대|단독|오피스텔,만 19~34세 청년 무주택 단독세대주,"보증금 최대 4500만원, 월세금 최대 1200만원(24개월)"
A6,일반 전세자금대출(은행),전세자금대출,19,99,99999,99999,99999,650,100000,60000,80,50000,30000,3.5,5.5,9999,HUG,40,N,N,N,아파트|연립|다세대|단독|오피스텔,제한 없음 (일반 고객),"소득·자산 제한 없음, DSR 40% 이내"
